"UniqueID","Year","Breed","Breedclean","Age","Agenum","Gender","SpayNeuter","Borough","ZipCode"
1,"2015","Poodle, Standard","Poodle","3",3,"M","true","Brooklyn","11238"
4,"2015","American Pit Bull Terrier/Pit Bull","Pit bull","6",6,"M","false","Brooklyn","11221"
5,"2015","American Pit Bull Terrier/Pit Bull","Pit bull","1",1,"M","false","Brooklyn","11207"
6,"2015","American Pit Bull Terrier/Pit Bull","Pit bull","1",1,"F","false","Brooklyn","11209"
7,"2015","MORKIE","Other","1",1,"M","false","Brooklyn","11220"
8,"2015","Chihuahua","Chihuahua","1",1,"M","false","Brooklyn","11237"
13,"2015","Shih Tzu","Shih tzu","4",4,"F","false","Brooklyn","11205"
16,"2015","Shih Tzu","Shih tzu","3",3,"M","true","Brooklyn","11224"
17,"2015","Pit Bull","Pit bull","2",2,"M","true","Brooklyn","11213"
19,"2015","Yorkshire Terrier","Terrier","1",1,"F","false","Brooklyn","11237"
20,"2015","Dachshund Smooth Coat","Other","12",12,"M","true","Brooklyn","11217"
22,"2015","American Pit Bull Mix / Pit Bull Mix","Pit bull","2",2,"M","false","Brooklyn","11235"
23,"2015","Shih Tzu","Shih tzu","2",2,"M","false","Brooklyn","11207"
24,"2015","Chihuahua","Chihuahua","7M",0,"M","false","Brooklyn","11213"
25,"2015","Yorkshire Terrier","Terrier","8M",0,"M","false","Brooklyn","11206"
26,"2015","Labrador Retriever","Retriever","5",5,"M","true","Brooklyn","11229"
28,"2015","Jack Russ","Terrier","11",11,"M","false","Brooklyn","11217"
30,"2015","Chihuahua","Chihuahua","1",1,"F","false","Brooklyn","11213"
37,"2015","German Shepherd","German shepherd","4",4,"M","false","Brooklyn","11229"
39,"2015","Pomeranian","Other","1",1,"F","false","Brooklyn","11216"
40,"2015","Dalmatian","Other","10",10,"M","true","Brooklyn","11214"
43,"2015","Shiba Inu","Shiba","3",3,"M","false","Brooklyn","11252"
45,"2015","Pit Bull","Pit bull","5",5,"M","true","Brooklyn","11214"
51,"2015","RAT TERRIER","Terrier","5",5,"M","true","Brooklyn","11208"
52,"2015","American Pit Bull Terrier/Pit Bull","Pit bull","2",2,"M","false","Brooklyn","11228"
53,"2015","Staffordshire Bull Terrier","Terrier","4",4,"M","false","Brooklyn","11235"
54,"2015","RAT TERRIER","Terrier","13",13,"F","true","Brooklyn","11209"
55,"2015","American Pit Bull Terrier/Pit Bull","Pit bull","10",10,"F","true","Brooklyn","11232"
56,"2015","German Shepherd","German shepherd","4",4,"M","false","Brooklyn","11229"
62,"2015","American Pit Bull Terrier/Pit Bull","Pit bull","4",4,"M","true","Brooklyn","11221"
64,"2015","American Pit Bull Mix / Pit Bull Mix","Pit bull","1",1,"M","false","Brooklyn","11207"
66,"2015","Yorkshire Terrier","Terrier","3",3,"M","false","Brooklyn","11233"
67,"2015","American Pit Bull Terrier/Pit Bull","Pit bull","5",5,"M","false","Brooklyn","11207"
68,"2015","SPRINGER SPANIEL","Spaniel","7",7,"U","true","Brooklyn","11213"
72,"2015","Pit Bull","Pit bull","10",10,"M","true","Brooklyn","11235"
73,"2015","Pit Bull","Pit bull","1",1,"F","false","Brooklyn","11215"
74,"2015","Pit Bull","Pit bull","10",10,"F","true","Brooklyn","11210"
79,"2015","FOX HOUND","Other","3",3,"F","true","Brooklyn","11209"
81,"2015","Pit Bull","Pit bull","1",1,"M","false","Brooklyn","11226"
82,"2015","Weimaraner","Other","11",11,"M","true","Brooklyn","11230"
85,"2015","American Pit Bull Mix / Pit Bull Mix","Pit bull","6",6,"F","true","Brooklyn","11225"
