"year","title"
2021,"Ad hominem rhetoric in scientific psychology."
2021,"Minimizing errors in RT-PCR detection and quantification of SARS-CoV-2 RNA for wastewater surveillance."
2021,"Field social psychology."
2021,"Misidentified biomedical resources: Journal guidelines are not a quick fix."
2021,"Rewriting results sections in the language of evidence."
2021,"Improving long-term care services: insights from high-reliability organizations."
2021,"A Systematic Review of Simulation Models to Track and Address the Opioid Crisis."
2021,"Understanding the exploratory/confirmatory data analysis continuum: Moving beyond the ""replication crisis""."
2021,"Browser-based Data Annotation, Active Learning, and Real-Time Distribution of Artificial Intelligence Models: From Tumor Tissue Microarrays to COVID-19 Radiology."
2021,"Esteemed Colleagues: A Model of the Effect of Open Data on Selective Reporting of Scientific Results."
2021,"Objectivity for the research worker."
2021,"Should We Strive to Make Science Bias-Free? A Philosophical Assessment of the Reproducibility Crisis."
2021,"Aspiring to greater intellectual humility in science."
2021,"The revised suicide crisis inventory (SCI-2): Validation and assessment of prospective suicidal outcomes at one month follow-up."
2021,"Development and Validation of a Child Physical and Sexual Abuse Prevention Scale."
2021,"Exploring People's Reaction and Perceived Issues of the COVID-19 Pandemic at Its Onset."
2021,"COVID-19-Associated Severe Autoimmune Hemolytic Anemia: A Rare Case Report."
2021,"What Are the Correlates of Global Variations in the Prevalence of Opioid Use Disorders? An Analysis of Data From the Global Burden of Disease Study, 2019."
2021,"Preregistration in diverse contexts: a preregistration template for the application of cognitive models."
2021,"Inhibition of Severe Acute Respiratory Syndrome Coronavirus 2 Replication by Hypertonic Saline Solution in Lung and Kidney Epithelial Cells."
2021,"Misspecification and unreliable interpretations in psychology and social science."
2021,"Time-of-day effects in resting-state fMRI: changes in Effective Connectivity and BOLD signal."
2021,"Using the Delphi Method for Determining Key Performance Elements for Delivery of Optimal Suicide-Specific Interventions in Emergency Departments."
2021,"6-Thioguanine blocks SARS-CoV-2 replication by inhibition of PLpro."
2021,"Measuring Behavior in the Home Cage: Study Design, Applications, Challenges, and Perspectives."
2021,"Small Molecule Drug Candidates for Managing the Clinical Symptoms of COVID-19: a Narrative Review."
2021,"ACE2-cytomimetic particles restrict SARS-Cov-2 spike protein binding to cellular targets."
2021,"Avoiding a replication crisis in deep-learning-based bioimage analysis."
2021,"Monitoring inflammation in psychiatry: Caveats and advice."
2021,"Food on the Move: The Impact of Implied Motion in Pictures on Food Perceptions through Anticipated Pleasure of Consumption."
2021,"Anti-SARS-CoV-2 Activity of Extracellular Vesicle Inhibitors: Screening, Validation, and Combination with Remdesivir."
2021,"Discovery and Mechanism of SARS-CoV-2 Main Protease Inhibitors."
2021,"Antiviral, immunomodulatory, and anticoagulant effects of quercetin and its derivatives: Potential role in prevention and management of COVID-19."
2021,"Construction and Validation of a Brief Pandemic Fatigue Scale in the Context of the Coronavirus-19 Public Health Crisis."
2021,"Doing reliable research in comparative psychology: Challenges and proposals for improvement."
2021,"Establishing a Multidisciplinary Cavernous Carotid Injury Simulation to Train Neurosurgical, Otolaryngology, and Anesthesia Residents."
2021,"Structural biology of SARS-CoV-2 and implications for therapeutic development."
2021,"Research on bilingualism as discovery science."
2021,"Eliminating accidental deviations to minimize generalization error and maximize replicability: Applications in connectomics and genomics."
2021,"When numbers fail: do researchers agree on operationalization of published research?"
2021,"Detecting antimicrobial resistance in Escherichia coli using benchtop attenuated total reflectance-Fourier transform infrared spectroscopy and machine learning."
2021,"Rapid and quantitative detection of SARS-CoV-2 IgG antibody in serum using optofluidic point-of-care testing fluorescence biosensor."
2021,"Accelerating antibiotic discovery through artificial intelligence."
2021,"The effectiveness of early colchicine administration in patients over 60 years old with high risk of developing severe pulmonary complications associated with coronavirus pneumonia SARS-CoV-2 (COVID-19): study protocol for an investigator-driven randomized controlled clinical trial in primary health care-COLCHICOVID study."
2021,"Structural Understanding of SARS-CoV-2 Drug Targets, Active Site Contour Map Analysis and COVID-19 Therapeutics."
2021,"Remote cognitive assessment of older adults in rural areas by telemedicine and automatic speech and video analysis: protocol for a cross-over feasibility study."
2021,"Modeling transmission dynamics and effectiveness of worker screening programs for SARS-CoV-2 in pork processing plants."
2021,"Cellular host factors for SARS-CoV-2 infection."
2021,"Which East Asian herbal medicines can decrease viral infections?"
2021,"The hidden side of animal cognition research: Scientists' attitudes toward bias, replicability and scientific practice."
2021,"The ageing of the social mind: replicating the preservation of socio-affective and the decline of socio-cognitive processes in old age."
2021,"Effects of Print Exposure on an Online Lexical Decision Task: A Direct Replication Using a Web-Based Experimental Procedure."
2021,"Methodological issues in assessing job stress and burnout in psychosocial research."
2021,"Three Versions of the Perceived Stress Scale: Psychometric Evaluation in a Nationally Representative Sample of Chinese Adults during the COVID-19 Pandemic."
2021,"Examining replicability in addictions research: How to assess and ways forward."
2021,"Neural Processing Underlying Executive Functions in Bilinguals: ""Heads I Win, Tails You Lose""."
2021,"Improving evidence-based practice through preregistration of applied research: Barriers and recommendations."
2021,"Structural Design and Preliminary Tests of a Novel Patient Transfer Apparatus for Medical Scenarios."
2021,"The contribution of the Italian residents in neurology to the COVID-19 crisis: admirable generosity but neurological training remains their priority."
2021,"Mesalamine Reduces Intestinal ACE2 Expression Without Modifying SARS-CoV-2 Infection or Disease Severity in Mice."
2021,"Inter-Brain Synchrony in Open-Ended Collaborative Learning: An fNIRS-Hyperscanning Study."
2021,"Organelle Crosstalk Regulators Are Regulated in Diseases, Tumors, and Regulatory T Cells: Novel Classification of Organelle Crosstalk Regulators."
2021,"Mental Health Symptoms, Binge Drinking, and the Experience of Abuse During the COVID-19 Lockdown in Mexico."
2021,"Somatic reversion impacts myelodysplastic syndromes and acute myeloid leukemia evolution in the short telomere disorders."
2021,"Factors influencing protective behaviours during haze episodes in Singapore: A population-based study."
2021,"Examination of the psychometric properties of the persian version of the COVID-19-impact on Quality of Life Scale."
2021,"Open science, the replication crisis, and environmental public health."
2021,"Measurement of empathy among health professionals during Syrian crisis using the Syrian empathy scale."
2021,"Rigor, reproducibility, and transparency of randomized controlled trials in obstetrics and gynecology."
2021,"Exploring the COVID-19 Potential Targets: Big Challenges to Quest Specific Treatment."
2021,"""What We Have Here, Is a Failure to [Replicate]"": Ways to Solve a Replication Crisis in Implementation Science."
2021,"COVID-19 negatively impacts on psychological and somatic status in frontline nurses."
2021,"The effectiveness of blood routine parameters and some biomarkers as a potential diagnostic tool in the diagnosis and prognosis of Covid-19 disease."
2021,"The Mediating Role of Responsible Innovation in the Relationship between Stakeholder Pressure and Corporate Sustainability Performance in Times of Crisis: Evidence from Selected Regions in China."
2021,"Behavioural science is unlikely to change the world without a heterogeneity revolution."
2021,"Chemical targeting of G-quadruplexes in telomeres and beyond for molecular cancer therapeutics."
2021,"TRPC5 and the path towards analgesic drug development."
2021,"Mitigating the Impact of Reemergence From a Pandemic on Healthcare."
2021,"Mapping the discursive dimensions of the reproducibility crisis: A mixed methods analysis."
2021,"Curated Data In - Trustworthy In Silico Models Out: The Impact of Data Quality on the Reliability of Artificial Intelligence Models as Alternatives to Animal Testing."
2021,"Methyltransferase-like 3 Modulates Severe Acute Respiratory Syndrome Coronavirus-2 RNA N6-Methyladenosine Modification and Replication."
2021,"Increased susceptibility of human endothelial cells to infections by SARS-CoV-2 variants."
2021,"QUAREP-LiMi: A community-driven initiative to establish guidelines for quality assessment and reproducibility for instruments and images in light microscopy."
2021,"Multi-Subunit SARS-CoV-2 Vaccine Design Using Evolutionarily Conserved T- and B- Cell Epitopes."
2021,"Development and Validation of a Method for Quantification of Favipiravir as COVID-19 Management in Spiked Human Plasma."
2021,"Identifying SARS-CoV-2 antiviral compounds by screening for small molecule inhibitors of nsp12/7/8 RNA-dependent RNA polymerase."
2021,"Impact of the p-Value Threshold on Interpretation of Trial Outcomes in Obstetrics and Gynecology."
2021,"Prognostic accuracy of MALDI-TOF mass spectrometric analysis of plasma in COVID-19."
2021,"Extending the Reach of Tooling Theory: A Neurocognitive and Phylogenetic Perspective."
2021,"EPOS: EEG Processing Open-Source Scripts."
2021,"Control of Innate Immune Activation by Severe Acute Respiratory Syndrome Coronavirus 2 and Other Coronaviruses."
2021,"Inhibitory Concentrations of Ciprofloxacin Induce an Adaptive Response Promoting the Intracellular Survival of Salmonella enterica Serovar Typhimurium."
2021,"COVID-19: In silico identification of potent a-ketoamide inhibitors targeting the main protease of the SARS-CoV-2."
2021,"Cross-cultural adaptation and validation of two crisis resource management scales."
2021,"Dynamic Profiling of ß-Coronavirus 3CL Mpro Protease Ligand-Binding Sites."
2021,"The replication crisis won't be solved with broad brushstrokes."
2021,"Modeling Stroke in Mice: Transient Middle Cerebral Artery Occlusion via the External Carotid Artery."
2021,"Emergency management to avoid the spread of the COVID-19 pandemic in Gaza Strip."
2021,"Dynamic multi-objective programming model for improving consumer satisfaction within water supply system under uncertain environment."
2021,"Occupational Safety of Municipal Police Officers: Assessing the Vulnerability and Riskiness of Police Officers' Work."
2021,"Technostress of Chilean Teachers in the Context of the COVID-19 Pandemic and Teleworking."
2021,"Permutation tests are robust and powerful at 0.5% and 5% significance levels."
2021,"Development of a qualitative real-time RT-PCR assay for the detection of SARS-CoV-2: a guide and case study in setting up an emergency-use, laboratory-developed molecular microbiological assay."
2021,"Translational shutdown and evasion of the innate immune response by SARS-CoV-2 NSP14 protein."
2021,"Prospective Role of Peptide-Based Antiviral Therapy Against the Main Protease of SARS-CoV-2."
2021,"Veridical Causal Inference using Propensity Score Methods for Comparative Effectiveness Research with Medical Claims."
2021,"Modeling Stroke in Mice: Focal Cortical Lesions by Photothrombosis."
2021,"Assessment of Need for Recovery and Its Relationship With Work Characteristics and Health in a Sample of Chinese Doctors: A Cross-Sectional Survey."
2021,"Provision of social support by mayors in times of crisis: a cross-sectional study among Dutch mayors."
2021,"Comparative evaluation of six nucleic acid amplification kits for SARS-CoV-2 RNA detection."
2021,"How best to quantify replication success? A simulation study on the comparison of replication success metrics."
2021,"The effects of media narratives about failures and discoveries in science on beliefs about and support for science."
2021,"Reproducibility of findings in modern PET neuroimaging: insight from the NRM2018 grand challenge."
2021,"Does Adding the Dialectical Behavior Therapy Prolonged Exposure (DBT PE) Protocol for PTSD to DBT Improve Outcomes in Public Mental Health Settings? A Pilot Nonrandomized Effectiveness Trial With Benchmarking."
2021,"Understanding experiments and research practices for reproducibility: an exploratory study."
2021,"Thymoquinone: A Promising Natural Compound with Potential Benefits for COVID-19 Prevention and Cure."
2021,"A cross-sectional online survey on patients' satisfaction using store-and-forward voice and text messaging teleconsultation service during the COVID-19 pandemic."
2021,"Replication crisis lost in translation? On translational caution and premature applications of attachment theory."
2021,"Ethical issues in managing the COVID-19 pandemic."
2021,"Workshop on reproducibility in research."
2021,"The reproducibility crisis and statistical review of clinical and translational studies."
2021,"Broad-Spectrum Antiviral Strategies and Nucleoside Analogues."
